PlayerID,PA,WAR,G,AB,R,H,2B,3B,HR,RBI,SB,HallOfFame
boudrlo01,7025,4.198666667,1646,6029,861,1779,385,66,68,789,51,I
perezto02,114,-0.052,69,127,8,26,9,2,0,8,0,NC
fostege01,7812,2.2095,1977,6942,984,1909,300,42,353,1231,45,C
cruzlu01,652,0.236666667,195,673,63,148,28,1,8,58,3,NC
sanchce01,336,-0.005,105,314,30,76,11,3,1,30,1,NC
dwyerdo01,12,0.01,12,11,2,3,0,0,0,1,0,NC
deberha01,2051,0.073636364,648,1850,170,494,81,16,11,234,13,NC
crumlge01,14,-0.13,6,12,0,1,0,0,0,1,0,NC
rittewh01,52,-0.29,16,52,8,13,3,0,0,4,0,NC
frankmo01,178,0.04,61,164,25,43,8,0,2,16,0,NC
gerkege01,146,-0.31,44,129,17,29,7,2,0,11,3,NC
singlke01,8559,2.788666667,2082,7189,985,2029,317,25,246,1065,21,C
grievto01,2093,0.204444444,670,1907,209,474,76,10,65,254,7,NC
paquecr01,2766,-0.147272727,814,2591,304,620,128,10,99,377,27,NC
staigro01,496,0.5475,152,457,42,104,19,1,4,38,4,NC
sandhe01,3528,0.04,848,3033,457,781,145,32,18,251,21,NC
gibsoru01,855,-0.398333333,264,794,49,181,34,4,8,78,2,NC
storiho01,28,-0.045,12,25,2,5,0,0,0,0,0,NC
redmogl01,19,-0.03,7,17,0,4,3,0,0,4,0,NC
alouma01,6220,1.354705882,1667,6558,873,2014,270,53,35,469,170,C
aglerjo01,905,-0.0675,234,610,104,152,19,10,0,24,25,NC
fautsjo01,1,-0.03,1,1,0,0,0,0,0,0,0,NC
anderbr01,7737,2.185,1834,6470,1059,1660,335,69,209,764,313,C
warwica01,1616,0.1,530,930,84,222,30,8,12,84,11,NC
baxesji01,308,0.505,88,66,8,20,2,0,4,10,2,NC
knoxan01,84,-0.18,21,75,6,19,3,0,0,8,5,NC
virgioz01,797,-0.051,324,762,75,175,19,7,15,74,6,NC
mostijo01,4100,2.416,972,3507,618,1054,209,82,23,376,176,C
murphdw01,5242,2.77,1360,4347,648,1069,139,20,166,609,100,NC
thakeal01,78,-0.06,18,78,14,23,2,2,0,15,2,NC
connoed01,408,-0.6025,149,371,13,66,11,4,0,31,0,NC
kirkpen01,601,0.06,203,528,70,125,20,6,3,46,32,NC
milleed02,232,-0.353333333,86,200,21,39,5,4,0,12,4,NC
beltres01,443,-0.424,186,401,46,95,17,0,1,35,5,NC
mahadji01,0,0,1,0,0,0,0,0,0,0,0,NC
goodge01,135,-1.3,34,119,4,18,0,0,0,0,2,NC
fordle01,1795,1.386666667,519,1585,235,425,83,10,35,176,48,NC
stephge01,2195,0.317857143,964,1704,236,412,67,14,30,183,26,NC
blockbr01,625,0.28,209,565,42,131,18,10,1,69,5,NC
huggimi01,6794,2.738461538,1586,5558,948,1474,146,50,9,318,324,C
letchto01,21,-0.21,6,21,3,4,1,0,0,2,1,NC
baineha01,11092,1.434814815,2830,10901,1465,3184,534,52,444,1808,35,C
vanbude01,49,0.01,13,2,0,2,0,0,0,0,0,NC
colemch01,509,-0.17,201,462,51,91,8,2,9,30,7,NC
clarkda05,2211,0.021428571,905,2160,276,573,93,10,70,318,21,NC
powerdo01,2235,-0.208461538,647,2185,196,471,77,15,4,216,28,NC
mcmilto01,1117,-0.52,297,817,55,174,22,1,0,43,42,NC
peguefr01,46,0.355,35,45,10,9,1,0,1,1,5,NC
mensoed01,308,0.146666667,127,244,43,54,6,3,1,8,14,NC
fuentmi02,9,0.03,9,8,1,2,0,0,0,0,0,NC
goldswa01,188,-0.3025,42,184,15,34,3,0,0,18,0,NC
azcuejo01,3095,0.568666667,909,2249,155,568,70,9,37,238,4,NC
belchke01,17,0.24,16,15,4,2,1,0,0,0,0,NC
