PA,R,H,2B,HR,RBI,SB,HallOfFame
5,0,1,0,0,0,0,NC
1797,195,468,47,9,117,41,NC
358,47,87,11,0,22,13,NC
1827,163,474,74,16,143,12,NC
19,3,3,0,0,0,0,NC
7,2,2,1,0,2,0,NC
561,0,4,1,0,1,0,NC
204,14,44,8,0,13,1,NC
322,39,73,8,7,32,3,NC
3755,403,860,79,5,285,159,C
3,0,1,0,0,0,0,NC
29,1,3,1,0,3,0,NC
996,94,167,22,11,48,6,NC
269,23,55,11,6,29,4,NC
4106,556,996,144,16,498,189,C
8129,1259,1979,359,483,1475,206,C
31,3,6,0,1,2,0,NC
2191,202,480,79,59,274,0,NC
2453,280,541,74,2,262,94,NC
4268,326,944,137,10,335,134,C
19,3,2,0,0,1,0,NC
7980,1242,1957,441,380,1173,71,C
2718,373,748,92,3,249,14,NC
1320,110,247,24,18,121,15,NC
11229,1212,2751,508,298,1492,48,C
1,0,0,0,0,0,0,NC
192,21,36,2,0,14,0,NC
9,1,1,1,0,0,0,NC
660,60,135,27,3,62,10,NC
798,109,201,31,8,80,2,NC
365,43,67,18,4,28,0,NC
144,14,22,0,0,7,7,NC
38,5,14,0,1,5,0,NC
2858,400,762,149,13,249,69,NC
74,17,19,2,0,8,4,NC
25,4,2,0,0,3,0,NC
68,3,11,2,0,6,0,NC
1994,152,430,59,16,191,3,NC
514,31,92,9,1,32,6,NC
8,1,2,0,0,0,0,NC
1713,231,429,73,13,160,33,NC
53,1,10,0,0,2,0,NC
76,8,19,2,1,13,3,NC
1049,132,161,35,30,94,12,NC
299,31,56,12,15,34,1,NC
2,0,1,0,0,0,0,NC
485,62,114,25,24,73,6,NC
1386,261,455,93,3,104,8,NC
2,0,1,0,0,0,0,NC
268,21,42,4,2,22,2,NC
2340,309,562,105,55,280,49,NC
3,2,1,0,1,2,0,NC
685,67,151,31,3,54,26,NC
1013,172,332,24,3,86,20,NC
5922,766,1443,233,89,524,222,NC
14,3,3,1,0,2,0,NC
8931,1036,2251,391,165,1077,317,C
2133,320,542,50,4,117,27,NC
388,55,77,12,8,21,23,NC
1341,105,249,29,1,77,20,NC
5448,733,1203,260,220,658,108,NC
31,2,7,1,0,3,0,NC
3128,577,805,147,20,394,321,NC
1211,123,258,41,16,114,13,NC
